"DateTime","Players","Average Players","Markers"
"2023-09-09 00:00:00",1655,1127,
"2023-09-10 00:00:00",1941,1355,
"2023-09-11 00:00:00",1585,1023,
"2023-09-12 00:00:00",1571,979,
"2023-09-13 00:00:00",1609,978,
"2023-09-14 00:00:00",1667,1025,
"2023-09-15 00:00:00",1571,1032,
"2023-09-16 00:00:00",1966,1330,
"2023-09-17 00:00:00",2110,1444,
"2023-09-18 00:00:00",1718,1092,
"2023-09-19 00:00:00",1632,1021,
"2023-09-20 00:00:00",1483,972,
"2023-09-21 00:00:00",1475,930,
"2023-09-22 00:00:00",1430,933,
"2023-09-23 00:00:00",1711,1171,
"2023-09-24 00:00:00",1798,1232,
"2023-09-25 00:00:00",1434,940,
"2023-09-26 00:00:00",2019,1243,
"2023-09-27 00:00:00",2837,1974,
"2023-09-28 00:00:00",3007,2164,
"2023-09-29 00:00:00",3153,2359,
"2023-09-30 00:00:00",3751,2801,
"2023-10-01 00:00:00",4039,3054,
"2023-10-02 00:00:00",3380,2619,
"2023-10-03 00:00:00",3461,2532,
"2023-10-04 00:00:00",3225,2379,
"2023-10-05 00:00:00",3252,2322,
"2023-10-06 00:00:00",3092,2295,
"2023-10-07 00:00:00",3497,2444,
"2023-10-08 00:00:00",3688,2599,
"2023-10-09 00:00:00",3019,2160,
"2023-10-10 00:00:00",2733,1923,
"2023-10-11 00:00:00",2579,1816,
"2023-10-12 00:00:00",2584,1809,
"2023-10-13 00:00:00",2729,1897,
"2023-10-14 00:00:00",3284,2430,
"2023-10-15 00:00:00",3497,2644,
"2023-10-16 00:00:00",2742,1912,
"2023-10-17 00:00:00",2566,1817,
"2023-10-18 00:00:00",2477,1758,
"2023-10-19 00:00:00",2436,1715,
"2023-10-20 00:00:00",2515,1751,
"2023-10-21 00:00:00",3009,2180,
"2023-10-22 00:00:00",3305,2387,
"2023-10-23 00:00:00",2437,1764,
"2023-10-24 00:00:00",2332,1653,
"2023-10-25 00:00:00",2263,1602,
"2023-10-26 00:00:00",2257,1572,
"2023-10-27 00:00:00",2237,1592,
"2023-10-28 00:00:00",2741,1967,
"2023-10-29 00:00:00",2875,2164,
"2023-10-30 00:00:00",2176,1637,
"2023-10-31 00:00:00",1975,1501,
"2023-11-01 00:00:00",2157,1545,
"2023-11-02 00:00:00",7446,3505,
"2023-11-03 00:00:00",11835,8510,
"2023-11-04 00:00:00",16806,12429,
"2023-11-05 00:00:00",19735,14916,
"2023-11-06 00:00:00",16388,11793,
"2023-11-07 00:00:00",15801,11347,
